N,B,dtype,iters,tag,driver,lower,deterministic_mode,tol,max_sweeps,sort_eig,k_request,which,il,iu,chunk_size,time_ms,time_per_matrix_ms,throughput_mat_per_s,nonzero_info,max_info,k_solved_min,k_solved_max,status,error
256,16,float32,5,syevd_vec_uplo0_det0,syevd,False,0,1e-05,20,True,256,largest,1,-1,16,31.732525634765626,1.9832828521728516,504.21451428595606,0,0,256,256,ok,
256,16,float32,5,syevd_vec_uplo0_det1,syevd,False,1,1e-05,20,True,256,largest,1,-1,16,31.731085205078124,1.9831928253173827,504.2374030573471,0,0,256,256,ok,
256,16,float32,5,syevd_vec_uplo0_det2,syevd,False,2,1e-05,20,True,256,largest,1,-1,16,31.731582641601562,1.9832239151000977,504.2294984374106,0,0,256,256,ok,
256,16,float32,5,syevj_batched_vec_uplo1_tol1e-05_sw20,syevj_batched,True,0,1e-05,20,True,256,largest,1,-1,16,11.239609527587891,0.7024755954742432,1423.5369975022368,0,0,256,256,ok,
256,16,float32,5,syevj_batched_vec_uplo1_tol1e-05_sw50,syevj_batched,True,0,1e-05,50,True,256,largest,1,-1,16,11.238285064697266,0.7023928165435791,1423.7047652635783,0,0,256,256,ok,
256,16,float32,5,syevj_batched_vec_uplo1_tol1e-05_sw100,syevj_batched,True,0,1e-05,100,True,256,largest,1,-1,16,11.241363525390625,0.7025852203369141,1423.3148820302044,0,0,256,256,ok,
256,16,float32,5,syevj_batched_vec_uplo1_tol1e-06_sw20,syevj_batched,True,0,1e-06,20,True,256,largest,1,-1,16,11.860620880126953,0.7412888050079346,1349.0018913604074,0,0,256,256,ok,
256,16,float32,5,syevj_batched_vec_uplo1_tol1e-06_sw50,syevj_batched,True,0,1e-06,50,True,256,largest,1,-1,16,11.857958221435547,0.7411223888397217,1349.3048045216515,0,0,256,256,ok,
256,16,float32,5,syevj_batched_vec_uplo1_tol1e-06_sw100,syevj_batched,True,0,1e-06,100,True,256,largest,1,-1,16,11.856102752685548,0.7410064220428467,1349.5159694340377,0,0,256,256,ok,
256,16,float32,5,syevj_batched_vec_uplo1_tol1e-07_sw20,syevj_batched,True,0,1e-07,20,True,256,largest,1,-1,16,26.440640258789063,1.6525400161743165,605.1290681087604,0,0,256,256,ok,
256,16,float32,5,syevj_batched_vec_uplo1_tol1e-07_sw50,syevj_batched,True,0,1e-07,50,True,256,largest,1,-1,16,26.4316162109375,1.6519760131835937,605.3356659052556,0,0,256,256,ok,
256,16,float32,5,syevj_batched_vec_uplo1_tol1e-07_sw100,syevj_batched,True,0,1e-07,100,True,256,largest,1,-1,16,26.441311645507813,1.6525819778442383,605.1137029247293,0,0,256,256,ok,
256,16,float32,5,syevj_batched_vec_uplo0_tol1e-05_sw20,syevj_batched,False,0,1e-05,20,True,256,largest,1,-1,16,11.231423950195312,0.701963996887207,1424.5744859200834,0,0,256,256,ok,
256,16,float32,5,syevj_batched_vec_uplo0_tol1e-05_sw50,syevj_batched,False,0,1e-05,50,True,256,largest,1,-1,16,11.228620910644532,0.7017888069152832,1424.9301073858755,0,0,256,256,ok,
256,16,float32,5,syevj_batched_vec_uplo0_tol1e-05_sw100,syevj_batched,False,0,1e-05,100,True,256,largest,1,-1,16,11.233977508544921,0.7021235942840576,1424.2506705955118,0,0,256,256,ok,
256,16,float32,5,syevj_batched_vec_uplo0_tol1e-06_sw20,syevj_batched,False,0,1e-06,20,True,256,largest,1,-1,16,11.849574279785156,0.7405983924865722,1350.2594795574457,0,0,256,256,ok,
256,16,float32,5,syevj_batched_vec_uplo0_tol1e-06_sw50,syevj_batched,False,0,1e-06,50,True,256,largest,1,-1,16,11.85059814453125,0.7406623840332032,1350.142820207231,0,0,256,256,ok,
256,16,float32,5,syevj_batched_vec_uplo0_tol1e-06_sw100,syevj_batched,False,0,1e-06,100,True,256,largest,1,-1,16,11.854386901855468,0.7408991813659668,1349.7113037111733,0,0,256,256,ok,
256,16,float32,5,syevj_batched_vec_uplo0_tol1e-07_sw20,syevj_batched,False,0,1e-07,20,True,256,largest,1,-1,16,26.436474609375,1.6522796630859375,605.2244195345934,0,0,256,256,ok,
256,16,float32,5,syevj_batched_vec_uplo0_tol1e-07_sw50,syevj_batched,False,0,1e-07,50,True,256,largest,1,-1,16,26.445230102539064,1.6528268814086915,605.0240416877222,0,0,256,256,ok,
256,16,float32,5,syevj_batched_vec_uplo0_tol1e-07_sw100,syevj_batched,False,0,1e-07,100,True,256,largest,1,-1,16,26.426803588867188,1.6516752243041992,605.4459044278937,0,0,256,256,ok,
256,16,float32,5,xsyev_batched_vec_uplo1_det0,xsyev_batched,True,0,1e-05,20,True,256,largest,1,-1,16,2.885036849975586,0.18031480312347412,5545.856372730697,0,0,256,256,ok,
256,16,float32,5,xsyev_batched_vec_uplo1_det1,xsyev_batched,True,1,1e-05,20,True,256,largest,1,-1,16,2.886636734008789,0.18041479587554932,5542.78264788107,0,0,256,256,ok,
256,16,float32,5,xsyev_batched_vec_uplo1_det2,xsyev_batched,True,2,1e-05,20,True,256,largest,1,-1,16,2.884377670288086,0.18027360439300538,5547.123792010895,0,0,256,256,ok,
256,16,float32,5,xsyev_batched_vec_uplo0_det0,xsyev_batched,False,0,1e-05,20,True,256,largest,1,-1,16,2.904332733154297,0.18152079582214356,5509.010664429948,0,0,256,256,ok,
256,16,float32,5,xsyev_batched_vec_uplo0_det1,xsyev_batched,False,1,1e-05,20,True,256,largest,1,-1,16,2.9017152786254883,0.18135720491409302,5513.979995852325,0,0,256,256,ok,
256,16,float32,5,xsyev_batched_vec_uplo0_det2,xsyev_batched,False,2,1e-05,20,True,256,largest,1,-1,16,2.897145652770996,0.18107160329818725,5522.677116594633,0,0,256,256,ok,
256,16,float32,5,syevd_chunk4,syevd,True,0,1e-05,20,True,256,largest,1,-1,4,31.713766479492186,1.9821104049682616,504.5127645228281,0,0,256,256,ok,
256,16,float32,5,xsyev_batched_chunk4,xsyev_batched,True,0,1e-05,20,True,256,largest,1,-1,4,10.734381103515625,0.6708988189697266,1490.5377259951977,0,0,256,256,ok,
256,16,float32,5,syevd_chunk8,syevd,True,0,1e-05,20,True,256,largest,1,-1,8,31.517803955078126,1.9698627471923829,507.64958189360436,0,0,256,256,ok,
256,16,float32,5,xsyev_batched_chunk8,xsyev_batched,True,0,1e-05,20,True,256,largest,1,-1,8,5.490028762817383,0.34312679767608645,2914.374530852019,0,0,256,256,ok,
256,16,float32,5,syevd_chunk16,syevd,True,0,1e-05,20,True,256,largest,1,-1,16,31.692645263671874,1.9807903289794921,504.84899152107755,0,0,256,256,ok,
256,16,float32,5,xsyev_batched_chunk16,xsyev_batched,True,0,1e-05,20,True,256,largest,1,-1,16,2.8778175354003905,0.1798635959625244,5559.768749471436,0,0,256,256,ok,
256,16,float32,5,syevdx_vec_k8_largest,syevdx,True,0,1e-05,20,True,8,largest,249,256,16,35.491571044921876,2.2182231903076173,450.81126388428146,0,0,8,8,ok,
256,16,float32,5,syevdx_vec_k8_smallest,syevdx,True,0,1e-05,20,True,8,smallest,1,8,16,35.499078369140626,2.218692398071289,450.71592658328876,0,0,8,8,ok,
256,16,float32,5,syevdx_vec_k16_largest,syevdx,True,0,1e-05,20,True,16,largest,241,256,16,35.49064331054687,2.2181652069091795,450.82304820451725,0,0,16,16,ok,
256,16,float32,5,syevdx_vec_k16_smallest,syevdx,True,0,1e-05,20,True,16,smallest,1,16,16,35.49930114746094,2.2187063217163088,450.7130980843094,0,0,16,16,ok,
256,16,float32,5,syevdx_vec_k32_largest,syevdx,True,0,1e-05,20,True,32,largest,225,256,16,31.83171691894531,1.989482307434082,502.64332397594507,0,0,32,32,ok,
256,16,float32,5,syevdx_vec_k32_smallest,syevdx,True,0,1e-05,20,True,32,smallest,1,32,16,31.84310302734375,1.9901939392089845,502.4635942753682,0,0,32,32,ok,
256,16,float32,5,syevdx_vec_k64_largest,syevdx,True,0,1e-05,20,True,64,largest,193,256,16,31.86634216308594,1.9916463851928712,502.0971631483467,0,0,64,64,ok,
256,16,float32,5,syevdx_vec_k64_smallest,syevdx,True,0,1e-05,20,True,64,smallest,1,64,16,31.848831176757812,1.9905519485473633,502.3732240345527,0,0,64,64,ok,
256,16,float32,5,syevdx_vec_k128_largest,syevdx,True,0,1e-05,20,True,128,largest,129,256,16,31.825140380859374,1.9890712738037108,502.74719321027396,0,0,128,128,ok,
256,16,float32,5,syevdx_vec_k128_smallest,syevdx,True,0,1e-05,20,True,128,smallest,1,128,16,31.826138305664063,1.989133644104004,502.73142931552263,0,0,128,128,ok,
512,16,float32,3,syevd_vec_uplo1_det0,syevd,True,0,1e-05,20,True,512,largest,1,-1,16,76.1561787923177,4.7597611745198565,210.09457477682702,0,0,512,512,ok,
512,16,float32,3,syevd_vec_uplo1_det1,syevd,True,1,1e-05,20,True,512,largest,1,-1,16,76.17516581217448,4.760947863260905,210.04220771177953,0,0,512,512,ok,
512,16,float32,3,syevd_vec_uplo1_det2,syevd,True,2,1e-05,20,True,512,largest,1,-1,16,76.17009989420573,4.760631243387858,210.05617719056085,0,0,512,512,ok,
512,16,float32,3,syevd_vec_uplo0_det0,syevd,False,0,1e-05,20,True,512,largest,1,-1,16,76.22622680664062,4.764139175415039,209.90150857901475,0,0,512,512,ok,
512,16,float32,3,syevd_vec_uplo0_det1,syevd,False,1,1e-05,20,True,512,largest,1,-1,16,76.25230916341145,4.765769322713216,209.82971106765334,0,0,512,512,ok,
512,16,float32,3,syevd_vec_uplo0_det2,syevd,False,2,1e-05,20,True,512,largest,1,-1,16,76.24796549479167,4.7654978434244795,209.8416645765181,0,0,512,512,ok,
512,16,float32,3,syevj_batched_vec_uplo1_tol1e-05_sw20,syevj_batched,True,0,1e-05,20,True,512,largest,1,-1,16,35.420885721842446,2.213805357615153,451.71089525108994,0,0,512,512,ok,
512,16,float32,3,syevj_batched_vec_uplo1_tol1e-05_sw50,syevj_batched,True,0,1e-05,50,True,512,largest,1,-1,16,35.34794616699219,2.2092466354370117,452.64298877259114,0,0,512,512,ok,
512,16,float32,3,syevj_batched_vec_uplo1_tol1e-05_sw100,syevj_batched,True,0,1e-05,100,True,512,largest,1,-1,16,35.502794901529946,2.2189246813456216,450.6687443728691,0,0,512,512,ok,
512,16,float32,3,syevj_batched_vec_uplo1_tol1e-06_sw20,syevj_batched,True,0,1e-06,20,True,512,largest,1,-1,16,37.07806905110677,2.3173793156941733,431.5219322221528,0,0,512,512,ok,
512,16,float32,3,syevj_batched_vec_uplo1_tol1e-06_sw50,syevj_batched,True,0,1e-06,50,True,512,largest,1,-1,16,37.09413401285807,2.3183833758036294,431.3350459793417,0,0,512,512,ok,
512,16,float32,3,syevj_batched_vec_uplo1_tol1e-06_sw100,syevj_batched,True,0,1e-06,100,True,512,largest,1,-1,16,36.970507303873696,2.310656706492106,432.77739925206686,0,0,512,512,ok,
512,16,float32,3,syevj_batched_vec_uplo1_tol1e-07_sw20,syevj_batched,True,0,1e-07,20,True,512,largest,1,-1,16,83.72572835286458,5.232858022054036,191.1001589925563,0,0,512,512,ok,
512,16,float32,3,syevj_batched_vec_uplo1_tol1e-07_sw50,syevj_batched,True,0,1e-07,50,True,512,largest,1,-1,16,83.73093159993489,5.233183224995931,191.08828355628185,0,0,512,512,ok,
512,16,float32,3,syevj_batched_vec_uplo1_tol1e-07_sw100,syevj_batched,True,0,1e-07,100,True,512,largest,1,-1,16,83.64220682779948,5.227637926737468,191.2909834258726,0,0,512,512,ok,
